epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,819.023,0.30789,0.2348,0.78256,0.96589,0.9717,0.97202,0.94264,0.29156,0.27444,0.79756,0.0004555,0.0004555,0.0004555
112,826.032,0.30945,0.23617,0.78528,0.96105,0.96964,0.974,0.93291,0.31018,0.28912,0.80146,0.00045055,0.00045055,0.00045055
113,832.868,0.29863,0.24316,0.79106,0.95657,0.97369,0.98591,0.94617,0.30997,0.27737,0.7965,0.0004456,0.0004456,0.0004456
114,839.777,0.30891,0.24159,0.80128,0.95617,0.99637,0.99179,0.95796,0.29148,0.24361,0.7962,0.00044065,0.00044065,0.00044065
115,846.63,0.30749,0.23942,0.78723,0.96893,0.99494,0.99295,0.95791,0.30463,0.24366,0.79712,0.0004357,0.0004357,0.0004357
116,853.868,0.32118,0.24411,0.79398,0.97151,0.99353,0.99397,0.95765,0.3108,0.25155,0.79748,0.00043075,0.00043075,0.00043075
117,860.651,0.30409,0.23489,0.79315,0.96885,0.99392,0.99367,0.95438,0.31118,0.25528,0.79798,0.0004258,0.0004258,0.0004258
118,867.421,0.32085,0.24891,0.79373,0.96866,0.98657,0.98863,0.96045,0.30349,0.24972,0.79844,0.00042085,0.00042085,0.00042085
119,874.303,0.30867,0.2369,0.7885,0.96257,0.99292,0.98357,0.95004,0.29761,0.25047,0.79835,0.0004159,0.0004159,0.0004159
120,881.131,0.29746,0.22865,0.78809,0.96032,0.9881,0.98317,0.94521,0.29393,0.24694,0.79762,0.00041095,0.00041095,0.00041095
121,887.905,0.31083,0.23157,0.79108,0.96069,0.994,0.98471,0.95583,0.29154,0.24184,0.79715,0.000406,0.000406,0.000406
122,894.787,0.29868,0.23982,0.79014,0.95855,0.99649,0.98573,0.95168,0.28607,0.23734,0.79474,0.00040105,0.00040105,0.00040105
123,901.606,0.28988,0.22785,0.79588,0.95684,0.98517,0.98526,0.94389,0.30756,0.25172,0.79968,0.0003961,0.0003961,0.0003961
124,908.589,0.29631,0.23197,0.78817,0.9578,0.98362,0.98496,0.95191,0.28593,0.24334,0.79498,0.00039115,0.00039115,0.00039115
125,915.519,0.28719,0.21653,0.79575,0.95929,0.98095,0.98573,0.94819,0.29834,0.24913,0.79745,0.0003862,0.0003862,0.0003862
126,922.797,0.29624,0.2268,0.78511,0.96267,0.99154,0.98613,0.95699,0.27702,0.25557,0.79316,0.00038125,0.00038125,0.00038125
127,929.875,0.29895,0.22958,0.78505,0.96237,0.99171,0.98362,0.93681,0.29657,0.25602,0.79792,0.0003763,0.0003763,0.0003763
